Comment,Value,Description,Designator,Footprint,Quantity,Supplier 1,Supplier Order Qty 1,Supplier Part Number 1,Supplier Stock 1,Supplier Subtotal 1,Supplier Unit Price 1,Supplier 2,Supplier Order Qty 2,Supplier Part Number 2,Supplier Stock 2,Supplier Subtotal 2,Supplier Unit Price 2
"GRM21B5C1H223JA01L","22 nF","Ceramic capacitor, C0G, 5%, 50V","C6_T1, C6_T2, C6_T3, C6_T4","","4","Mouser","4","81-GRM215C1H223JA01L","19690","8,64","2,16","Farnell","10","1828943","7440","","1,41"
"CRCW080520R0FKEA","20","Thick film resistor, 1%, 125mW","R28","","1","Mouser","1","71-CRCW0805-20-E3","16957","0,541","0,541","","","","","",""
"GRM2195C1H123JA01D","12 nF","Ceramic capacitor, C0G, 5%, 50V","C11_T1, C11_T2, C11_T3, C11_T4","","4","Mouser","4","81-GRM2195C1H123JA1D","8753","11,36","2,84","","","","","",""
"C3216X7R1C106K160AC","10 uF","Ceramic capacitor, X7R, 10%, 16V","C12, C13","","2","Mouser","2","810-C3216X7R1C106K","48236","4,6","2,30","Farnell","10","1907353","14720","","2,58"
"CRCW080510M0FKEA","10M","Thick film resistor, 1%, 125mW","R5_T1, R5_T2, R5_T3, R5_T4","","4","Mouser","4","71-CRCW0805-10M-E3","58045","2,164","0,541","","","","","",""
"CRCW080510K0FKEB","10k","Thick film resistor, 1%, 125mW","R3, R4, R6_T1, R6_T2, R6_T3, R6_T4, R8_T1, R8_T2, R8_T3, R8_T4, R10_T1, R10_T2, R10_T3, R10_T4, R16, R18, R20, R22","","18","Mouser","18","71-CRCW080510K0FKEB","66156","5,778","0,321","","","","","",""
"RG2012P-103-B-T5","10k","Thin film resistor, 0.1%, 100mW","R24","","1","Mouser","1","754-RG2012P-103-B-T5","11948","1,96","1,96","","","","","",""
"C2012X7R1A475K125AC","4.7 uF","Ceramic capacitor, X7R, 10%, 10V","C22","","1","Mouser","1","810-C2012X7R1A475K","21805","1,76","1,76","","","","","",""
"CRCW08054K70FKEB","4.7k","Thick film resistor, 1%, 125mW","R1, R2","","2","Mouser","2","71-CRCW08054K70FKEB","20825","1,082","0,541","","","","","",""
"C0805C105K4RACTU","1 uF","Ceramic capacitor, X7R, 10%, 16V","C14, C17, C18, C20, C21_T1, C21_T2, C21_T3, C21_T4","","8","Mouser","8","80-C0805C105K4R","332753","6,488","0,811","Farnell","10","9227792","11000","","0,43"
"GRM2165C1H102JA01D","1 nF","Ceramic capacitor, C0G, 5%, 50V","C5_T1, C5_T2, C5_T3, C5_T4, C7_T1, C7_T2, C7_T3, C7_T4","","8","Mouser","10","81-GRM40C102J50D","26974","3,89","0,389","","","","","",""
"CRCW08050000Z0EA","0 ohm","Thick film resistor, 1%, 125mW","R25_T1, R25_T2, R25_T3, R25_T4","","4","Mouser","4","71-CRCW0805-0-E3","465545","2,164","0,541","","","","","",""
"1751248","","Terminal block, 2P, 3.5mm, screw","J4, J5, J6, J7, J9","","5","Mouser","5","651-1751248","8607","37,5","7,50","","","","","",""
"1751303","","Terminal block, 8P, 3.5mm, screw","J8","","1","Mouser","1","651-1751303","1668","28,9","28,90","","","","","",""
"AD623BRZ","","Instrumentation amplifier, rail to rail","U4_T1, U4_T2, U4_T3, U4_T4","","4","Mouser","4","584-AD623BRZ","1835","169,32","42,33","Farnell","4","2305589","232","","45,15"
"ADR3425ARJZ","","Series voltage reference, 2.5V","U13","","1","Mouser","1","584-ADR3425ARJZ-R7","3290","17,49","17,49","Farnell","1","1827384","7620","","22,81"
"ADT7410TRZ","","Temperature sensor, I2C output","U2","","1","Mouser","1","584-ADT7410TRZ","1561","23,83","23,83","Farnell","1","2102534","1637","","18,56"
"AQV252GA","","Solid state relay, DC/AC, 60V, 2.5A","U5, U6, U7, U8","","4","Mouser","4","769-AQV252GA","2006","139,92","34,98","","","","","",""
"HSCDANN015PA2A3","","Absolute pressure sensor, I2C output","U1","","1","Mouser","1","785-HSCDANN015PA2A3","16","298,37","298,37","","","","","",""
"KP-3216CGCK","","Chip led lamp,green, 50mcd @ 20mA","D1","","1","Farnell","1","2290333","1710","","0,94","","","","","",""
"LMP7702MA/NOPB","","Op. amp, dual, rail-to-rail, single supply","U3_T1, U3_T2, U3_T3, U3_T4, U10","","5","Farnell","5","1651867","510","","18,17","","","","","",""
"SA36CA-E3/54","","TVS diode, bidirectional, 36 V","TVS1, TVS2, TVS3, TVS4","","4","Mouser","4","625-SA36CA-E3/54","3710","13,8","3,45","","","","","",""
"T821110A1S100CEU","","Header, 2x5, 2.54mm","J1, J2, J3","","3","Farnell","3","2215304","7279","","4,03","","","","","",""
"Test_point","","Test_point","TP1, TP2, TP3_T1, TP3_T2, TP3_T3, TP3_T4, TP4_T1, TP4_T2, TP4_T3, TP4_T4, TP5, TP6, TP7, TP8, TP9","","15","","","","","","","","","","","",""
"TPS7A4533DCQ","","LDO regulator, 3.3V, 1.5A","U9","","1","Mouser","1","595-TPS7A4533DCQT","629","25,35","25,35","","","","","",""
